,Oppositionteam,Team,city,conceded,date,dots,economyRate,foursConceded,fullName,maidens,media,name,noballs,overs,sixesConceded,wickets,wides
0,New,New,Auckland,50,2005-02-17,9,12.50,2,Daryl Tuffey,0,,DR Tuffey,0,4,5,1,1
1,New,New,Auckland,44,2005-02-17,7,11.00,5,Kyle Mills,0,,KD Mills,0,4,2,3,2
2,New,New,Auckland,28,2005-02-17,4,7.00,2,Chris Cairns,0,,CL Cairns,0,4,0,1,0
3,New,New,Auckland,43,2005-02-17,6,10.75,4,Jeff Wilson,0,,JW Wilson,0,4,2,0,0
4,New,New,Auckland,40,2005-02-17,6,10.00,2,Andre Adams,0,,AR Adams,0,4,3,0,0
0,New,New,Auckland,26,2005-02-17,13,6.50,4,Brett Lee,0,,B Lee,0,4,0,1,1
1,New,New,Auckland,48,2005-02-17,5,12.00,5,Glenn McGrath,0,,GD McGrath,0,4,2,2,0
2,New,New,Auckland,29,2005-02-17,10,7.25,2,Michael Kasprowicz,0,,MS Kasprowicz,0,4,1,4,1
3,New,New,Auckland,23,2005-02-17,6,7.66,1,James Hopes,0,,JR Hopes,0,3,1,1,0
4,New,New,Auckland,33,2005-02-17,4,11.00,4,Andrew Symonds,0,,A Symonds,0,3,1,1,0
5,New,New,Auckland,11,2005-02-17,4,5.50,1,Michael Clarke,0,,MJ Clarke,0,2,0,0,0
0,Australia,Australia,Southampton,31,2005-06-13,6,10.33,4,Brett Lee,0,,B Lee,2,3,0,0,1
1,Australia,Australia,Southampton,31,2005-06-13,10,7.75,4,Glenn McGrath,0,,GD McGrath,0,4,0,3,1
2,Australia,Australia,Southampton,28,2005-06-13,2,9.33,3,Michael Kasprowicz,0,,MS Kasprowicz,0,3,0,1,0
3,Australia,Australia,Southampton,49,2005-06-13,5,12.25,6,Jason Gillespie,0,,JN Gillespie,0,4,2,1,1
4,Australia,Australia,Southampton,25,2005-06-13,4,8.33,1,Michael Clarke,0,,MJ Clarke,0,3,1,1,0
5,Australia,Australia,Southampton,14,2005-06-13,7,4.66,1,Andrew Symonds,0,,A Symonds,0,3,0,2,0
0,Australia,Australia,Southampton,16,2005-06-13,13,5.33,3,Darren Gough,0,,D Gough,1,3,0,3,0
1,Australia,Australia,Southampton,24,2005-06-13,14,6.00,3,Jon Lewis,0,,J Lewis,0,4,0,4,0
2,Australia,Australia,Southampton,13,2005-06-13,9,5.20,2,Steve Harmison,0,,SJ Harmison,1,2.3,0,1,0
3,Australia,Australia,Southampton,15,2005-06-13,10,5.00,2,Andrew Flintoff,0,,A Flintoff,0,3,0,0,1
4,Australia,Australia,Southampton,8,2005-06-13,6,4.00,0,Paul Collingwood,0,,PD Collingwood,0,2,0,2,0
0,New,New,Johannesburg,25,2005-10-21,-,7.14,-,Shane Bond,0,,SE Bond,0,3.3,-,2,0
1,New,New,Johannesburg,38,2005-10-21,-,9.50,-,Kyle Mills,0,,KD Mills,1,4,-,0,1
2,New,New,Johannesburg,27,2005-10-21,-,6.75,-,Andre Adams,0,,AR Adams,0,4,-,1,0
3,New,New,Johannesburg,20,2005-10-21,-,5.00,-,Nathan Astle,0,,NJ Astle,0,4,-,3,0
4,New,New,Johannesburg,20,2005-10-21,-,5.00,-,Jeetan Patel,0,,JS Patel,1,4,-,3,0
0,New,New,Johannesburg,16,2005-10-21,-,5.33,-,Shaun Pollock,0,,SM Pollock,0,3,-,0,1
1,New,New,Johannesburg,21,2005-10-21,-,10.50,-,Makhaya Ntini,0,,M Ntini,0,2,-,0,0
2,New,New,Johannesburg,19,2005-10-21,-,4.75,-,Andre Nel,0,,A Nel,0,4,-,2,0
3,New,New,Johannesburg,14,2005-10-21,-,7.00,-,Charl Langeveldt,0,,CK Langeveldt,0,2,-,2,2
4,New,New,Johannesburg,27,2005-10-21,-,6.75,-,Nicky Boje,0,,N Boje,0,4,-,1,0
5,New,New,Johannesburg,13,2005-10-21,-,6.50,-,Albie Morkel,0,,JA Morkel,0,2,-,0,0
6,New,New,Johannesburg,20,2005-10-21,-,20.00,-,Graeme Smith,0,,GC Smith,2,1,-,0,0
0,South,South,Brisbane,34,2006-01-09,12,8.50,3,Shaun Pollock,0,,SM Pollock,0,4,2,1,2
1,South,South,Brisbane,29,2006-01-09,7,7.25,3,Garnett Kruger,0,,GJP Kruger,0,4,0,0,2
2,South,South,Brisbane,41,2006-01-09,7,13.66,1,Monde Zondeki,0,,M Zondeki,0,3,3,1,3
3,South,South,Brisbane,38,2006-01-09,5,9.50,2,Andrew Hall,0,,AJ Hall,0,4,1,0,0
4,South,South,Brisbane,43,2006-01-09,4,10.75,3,Johan Botha,0,,J Botha,0,4,2,1,0
5,South,South,Brisbane,17,2006-01-09,1,17.00,3,Jacques Kallis,0,,JH Kallis,0,1,0,0,0
0,South,South,Brisbane,9,2006-01-09,13,3.00,1,Nathan Bracken,0,,NW Bracken,0,3,0,2,0
1,South,South,Brisbane,18,2006-01-09,11,5.14,2,Mick Lewis,0,,ML Lewis,0,3.3,0,2,0
2,South,South,Brisbane,35,2006-01-09,11,8.75,5,Stuart Clark,0,,SR Clark,0,4,1,1,0
3,South,South,Brisbane,26,2006-01-09,7,6.50,3,James Hopes,0,,JR Hopes,0,4,0,2,0
4,South,South,Brisbane,26,2006-01-09,11,6.50,1,Andrew Symonds,0,,A Symonds,0,4,1,2,1
0,New,New,Auckland,21,2006-02-16,14,5.25,2,James Franklin,0,,JEC Franklin,0,4,0,0,1
1,New,New,Auckland,15,2006-02-16,17,3.75,1,Shane Bond,0,,SE Bond,1,4,0,2,1
2,New,New,Auckland,33,2006-02-16,9,8.25,4,Scott Styris,0,,SB Styris,0,4,1,2,0
3,New,New,Auckland,24,2006-02-16,7,6.00,2,Chris Cairns,0,,CL Cairns,0,4,0,0,0
4,New,New,Auckland,27,2006-02-16,8,6.75,3,Jeetan Patel,0,,JS Patel,0,4,0,1,0
0,New,New,Auckland,22,2006-02-16,12,5.50,1,Ian Bradshaw,0,,IDR Bradshaw,0,4,1,0,1
1,New,New,Auckland,30,2006-02-16,7,10.00,4,Jerome Taylor,0,,JE Taylor,0,3,1,2,1
2,New,New,Auckland,22,2006-02-16,9,7.33,4,Deighton Butler,0,,DK Butler,0,3,0,0,1
3,New,New,Auckland,16,2006-02-16,10,6.00,1,Dwayne Bravo,0,,DJ Bravo,0,2.4,1,2,2
4,New,New,Auckland,9,2006-02-16,11,2.70,0,Dwayne Smith,0,,DR Smith,0,3.2,0,2,0
5,New,New,Auckland,22,2006-02-16,7,5.50,0,Chris Gayle,0,,CH Gayle,0,4,0,2,0
0,Australia,Australia,Johannesburg,15,2006-02-24,9,5.00,2,Brett Lee,0,,B Lee,0,3,0,0,0
1,Australia,Australia,Johannesburg,44,2006-02-24,8,11.00,6,Nathan Bracken,0,,NW Bracken,0,4,1,1,2
2,Australia,Australia,Johannesburg,31,2006-02-24,8,7.75,2,Mick Lewis,0,,ML Lewis,0,4,1,2,0
3,Australia,Australia,Johannesburg,25,2006-02-24,11,6.25,3,Stuart Clark,0,,SR Clark,0,4,0,0,0
4,Australia,Australia,Johannesburg,35,2006-02-24,4,11.66,3,Shane Watson,0,,SR Watson,0,3,2,1,1
5,Australia,Australia,Johannesburg,38,2006-02-24,0,19.00,3,Brad Hogg,0,,GB Hogg,0,2,3,0,1
0,Australia,Australia,Johannesburg,44,2006-02-24,3,14.66,5,Makhaya Ntini,0,,M Ntini,0,3,2,0,1
1,Australia,Australia,Johannesburg,22,2006-02-24,13,5.50,2,Andrew Hall,0,,AJ Hall,0,4,0,3,1
2,Australia,Australia,Johannesburg,40,2006-02-24,7,10.00,3,Roger Telemachus,0,,R Telemachus,0,4,1,1,3
3,Australia,Australia,Johannesburg,40,2006-02-24,7,10.00,5,Johan van der Wath,0,,JJ van der Wath,0,4,1,1,0
4,Australia,Australia,Johannesburg,21,2006-02-24,3,10.50,0,Graeme Smith,0,,GC Smith,0,2,2,0,0
5,Australia,Australia,Johannesburg,29,2006-02-24,5,9.66,0,Robin Peterson,0,,RJ Peterson,0,3,3,2,0
0,England,England,Southampton,20,2006-06-15,6,10.00,2,Tim Bresnan,0,,TT Bresnan,0,2,1,0,3
1,England,England,Southampton,29,2006-06-15,10,7.25,2,Steve Harmison,0,,SJ Harmison,0,4,0,0,2
2,England,England,Southampton,34,2006-06-15,12,8.50,2,Sajid Mahmood,0,,SI Mahmood,2,4,2,1,0
3,England,England,Southampton,37,2006-06-15,7,9.25,2,Liam Plunkett,0,,LE Plunkett,0,4,1,1,0
4,England,England,Southampton,22,2006-06-15,10,5.50,1,Paul Collingwood,0,,PD Collingwood,0,4,0,4,1
5,England,England,Southampton,17,2006-06-15,4,8.50,3,Jamie Dalrymple,0,,JWM Dalrymple,0,2,0,1,0
0,England,England,Southampton,28,2006-06-15,10,9.33,5,Ruchira Perera,0,,PDRL Perera,0,3,0,0,2
1,England,England,Southampton,25,2006-06-15,10,8.33,5,Lasith Malinga,0,,SL Malinga,0,3,0,0,1
2,England,England,Southampton,22,2006-06-15,7,5.50,1,Dilhara Fernando,0,,CRD Fernando,0,4,0,1,0
3,England,England,Southampton,30,2006-06-15,5,7.50,2,Farveez Maharoof,0,,MF Maharoof,1,4,0,0,1
4,England,England,Southampton,32,2006-06-15,8,8.00,3,Sanath Jayasuriya,0,,ST Jayasuriya,0,4,0,2,0
5,England,England,Southampton,18,2006-06-15,2,9.00,1,Tillakaratne Dilshan,0,,TM Dilshan,0,2,1,1,0
0,Pakistan,Pakistan,Bristol,31,2006-08-28,11,7.75,6,Shoaib Akhtar,0,,Shoaib Akhtar,0,4,0,1,0
1,Pakistan,Pakistan,Bristol,21,2006-08-28,15,5.25,4,Mohammad Asif,1,,Mohammad Asif,0,4,0,2,0
2,Pakistan,Pakistan,Bristol,26,2006-08-28,9,6.50,2,Naved-ul-Hasan,0,,Naved-ul-Hasan,1,4,0,1,0
3,Pakistan,Pakistan,Bristol,28,2006-08-28,8,7.00,3,Shahid Afridi,0,,Shahid Afridi,0,4,0,0,2
4,Pakistan,Pakistan,Bristol,30,2006-08-28,6,7.50,2,Abdul Razzaq,0,,Abdul Razzaq,0,4,1,3,0
0,Pakistan,Pakistan,Bristol,33,2006-08-28,13,8.60,3,Darren Gough,0,,D Gough,0,3.5,1,0,1
1,Pakistan,Pakistan,Bristol,35,2006-08-28,12,8.75,5,Stuart Broad,0,,SCJ Broad,0,4,1,2,0
2,Pakistan,Pakistan,Bristol,29,2006-08-28,10,9.66,5,Sajid Mahmood,0,,SI Mahmood,1,3,0,0,3
3,Pakistan,Pakistan,Bristol,10,2006-08-28,8,5.00,1,Jamie Dalrymple,0,,JWM Dalrymple,0,2,0,1,2
4,Pakistan,Pakistan,Bristol,20,2006-08-28,7,6.66,1,Michael Yardy,0,,MH Yardy,0,3,1,1,1
5,Pakistan,Pakistan,Bristol,19,2006-08-28,3,9.50,3,Paul Collingwood,0,,PD Collingwood,0,2,0,0,0
0,India,India,Johannesburg,15,2006-12-01,15,3.75,1,Zaheer Khan,0,,Z Khan,0,4,0,2,2
1,India,India,Johannesburg,33,2006-12-01,16,8.25,4,Sreesanth,0,,S Sreesanth,0,4,1,1,2
2,India,India,Johannesburg,10,2006-12-01,11,4.00,0,Ajit Agarkar,1,,AB Agarkar,0,2.3,1,2,0
3,India,India,Johannesburg,30,2006-12-01,10,7.50,3,Irfan Pathan,0,,IK Pathan,0,4,1,0,0
4,India,India,Johannesburg,12,2006-12-01,8,4.80,1,Sachin Tendulkar,0,,SR Tendulkar,0,2.3,0,1,0
5,India,India,Johannesburg,22,2006-12-01,5,7.33,0,Harbhajan Singh,0,,Harbhajan Singh,1,3,1,1,0
0,India,India,Johannesburg,18,2006-12-01,17,4.50,3,Johan van der Wath,0,,JJ van der Wath,0,4,0,0,1
1,India,India,Johannesburg,20,2006-12-01,17,5.00,3,Charl Langeveldt,0,,CK Langeveldt,1,4,0,2,1
2,India,India,Johannesburg,28,2006-12-01,11,7.00,4,Roger Telemachus,0,,R Telemachus,0,4,0,0,1
3,India,India,Johannesburg,31,2006-12-01,12,7.75,4,Tyron Henderson,0,,T Henderson,0,4,1,0,0
4,India,India,Johannesburg,12,2006-12-01,5,6.00,0,Albie Morkel,0,,JA Morkel,0,2,1,0,0
5,India,India,Johannesburg,11,2006-12-01,5,6.00,0,Robin Peterson,0,,RJ Peterson,0,1.5,1,1,0
0,Sri,Sri,Wellington,28,2006-12-22,10,7.00,1,Chaminda Vaas,0,,WPUJC Vaas,0,4,1,1,0
1,Sri,Sri,Wellington,30,2006-12-22,8,10.00,5,Farveez Maharoof,0,,MF Maharoof,0,3,1,1,0
2,Sri,Sri,Wellington,36,2006-12-22,4,12.00,5,Dilhara Fernando,0,,CRD Fernando,0,3,1,0,0
3,Sri,Sri,Wellington,27,2006-12-22,13,6.75,1,Muttiah Muralitharan,0,,M Muralitharan,0,4,2,2,2
4,Sri,Sri,Wellington,21,2006-12-22,11,5.25,0,Sanath Jayasuriya,0,,ST Jayasuriya,0,4,1,3,1
5,Sri,Sri,Wellington,8,2006-12-22,1,8.00,1,Mahela Jayawardene,0,,DPMD Jayawardene,0,1,0,0,0
6,Sri,Sri,Wellington,4,2006-12-22,2,4.00,0,Chamara Silva,0,,LPC Silva,0,1,0,1,0
0,Sri,Sri,Wellington,24,2006-12-22,7,8.00,4,Shane Bond,0,,SE Bond,0,3,0,1,1
1,Sri,Sri,Wellington,19,2006-12-22,5,9.50,3,James Franklin,0,,JEC Franklin,0,2,0,0,1
2,Sri,Sri,Wellington,18,2006-12-22,1,21.60,3,Andre Adams,0,,AR Adams,0,0.5,1,0,0
0,New,New,Auckland,23,2006-12-26,12,5.75,1,James Franklin,0,,JEC Franklin,1,4,1,3,0
1,New,New,Auckland,19,2006-12-26,12,6.33,3,Michael Mason,0,,MJ Mason,0,3,0,1,3
2,New,New,Auckland,13,2006-12-26,12,4.10,0,Mark Gillespie,0,,MR Gillespie,0,3.1,0,1,1
3,New,New,Auckland,20,2006-12-26,14,5.00,3,Andre Adams,0,,AR Adams,0,4,0,2,1
4,New,New,Auckland,30,2006-12-26,4,10.58,2,Nathan Astle,0,,NJ Astle,0,2.5,2,1,0
5,New,New,Auckland,8,2006-12-26,4,6.00,1,Jeetan Patel,0,,JS Patel,0,1.2,0,1,0
0,New,New,Auckland,15,2006-12-26,14,5.00,3,Lasith Malinga,0,,SL Malinga,0,3,0,0,1
1,New,New,Auckland,49,2006-12-26,7,12.25,8,Ruchira Perera,0,,PDRL Perera,0,4,1,0,2
2,New,New,Auckland,19,2006-12-26,16,4.75,2,Dilhara Fernando,0,,CRD Fernando,0,4,1,3,0
3,New,New,Auckland,8,2006-12-26,14,2.28,0,Tillakaratne Dilshan,0,,TM Dilshan,0,3.3,0,0,0
4,New,New,Auckland,20,2006-12-26,11,5.00,2,Malinga Bandara,0,,HMCM Bandara,0,4,0,0,0
0,England,England,Sydney,36,2007-01-09,11,9.00,3,Andrew Flintoff,0,,A Flintoff,0,4,1,0,2
1,England,England,Sydney,64,2007-01-09,5,16.00,4,James Anderson,0,,JM Anderson,0,4,6,1,0
2,England,England,Sydney,40,2007-01-09,7,10.00,1,Monty Panesar,0,,MS Panesar,0,4,3,2,0
3,England,England,Sydney,31,2007-01-09,6,10.33,2,Jon Lewis,0,,J Lewis,0,3,2,0,0
4,England,England,Sydney,12,2007-01-09,2,12.00,1,Jamie Dalrymple,0,,JWM Dalrymple,0,1,1,0,0
5,England,England,Sydney,36,2007-01-09,6,9.00,3,Paul Collingwood,0,,PD Collingwood,0,4,1,1,0
0,England,England,Sydney,20,2007-01-09,8,6.66,3,Nathan Bracken,0,,NW Bracken,0,3,0,1,1
1,England,England,Sydney,44,2007-01-09,8,11.00,7,Shane Harwood,0,,SM Harwood,0,4,1,1,1
2,England,England,Sydney,16,2007-01-09,13,4.00,0,Ben Hilfenhaus,0,,BW Hilfenhaus,1,4,0,2,1
3,England,England,Sydney,24,2007-01-09,7,6.00,0,Andrew Symonds,0,,A Symonds,0,4,0,2,3
4,England,England,Sydney,24,2007-01-09,5,8.00,2,Brad Hogg,0,,GB Hogg,0,3,0,0,0
5,England,England,Sydney,11,2007-01-09,5,5.50,1,Cameron White,0,,CL White,0,2,0,1,0
0,England,England,London,42,2007-06-28,10,10.50,6,Ryan Sidebottom,0,,RJ Sidebottom,0,4,2,1,0
1,England,England,London,37,2007-06-28,10,9.25,7,James Anderson,0,,JM Anderson,0,4,0,2,1
2,England,England,London,32,2007-06-28,7,10.66,2,Stuart Broad,0,,SCJ Broad,0,3,2,1,1
3,England,England,London,35,2007-06-28,10,8.75,3,Michael Yardy,0,,MH Yardy,0,4,0,1,3
4,England,England,London,39,2007-06-28,7,9.75,2,Dimitri Mascarenhas,0,,AD Mascarenhas,1,4,2,2,0
5,England,England,London,17,2007-06-28,1,17.00,0,Paul Collingwood,0,,PD Collingwood,0,1,2,0,0
0,England,England,London,39,2007-06-28,5,13.00,5,Daren Powell,0,,DBL Powell,0,3,1,0,2
1,England,England,London,26,2007-06-28,11,6.50,2,Ravi Rampaul,0,,R Rampaul,0,4,0,0,0
2,England,England,London,24,2007-06-28,9,6.00,1,Dwayne Smith,0,,DR Smith,0,4,1,3,0
3,England,England,London,37,2007-06-28,5,9.25,3,Daren Sammy,0,,DJG Sammy,0,4,1,2,0
4,England,England,London,52,2007-06-28,1,13.00,3,Marlon Samuels,0,,MN Samuels,0,4,3,0,1
5,England,England,London,6,2007-06-28,1,6.00,0,Dwayne Bravo,0,,DJ Bravo,0,1,0,0,0
0,England,England,London,25,2007-06-29,12,6.25,3,Ryan Sidebottom,0,,RJ Sidebottom,0,4,0,2,0
1,England,England,London,27,2007-06-29,14,6.75,4,James Anderson,0,,JM Anderson,0,4,0,1,2
2,England,England,London,31,2007-06-29,10,7.75,3,Stuart Broad,0,,SCJ Broad,0,4,1,1,1
3,England,England,London,32,2007-06-29,3,10.66,1,Dimitri Mascarenhas,0,,AD Mascarenhas,0,3,2,0,1
4,England,England,London,30,2007-06-29,5,10.00,1,Michael Yardy,0,,MH Yardy,0,3,2,0,0
5,England,England,London,21,2007-06-29,2,10.50,3,Paul Collingwood,0,,PD Collingwood,0,2,0,2,0
0,England,England,London,38,2007-06-29,6,9.50,4,Dwayne Smith,0,,DR Smith,1,4,0,0,2
1,England,England,London,39,2007-06-29,8,9.75,5,Ravi Rampaul,0,,R Rampaul,0,4,0,2,3
2,England,England,London,24,2007-06-29,14,6.00,4,Daren Powell,0,,DBL Powell,0,4,0,1,1
3,England,England,London,27,2007-06-29,7,6.75,2,Daren Sammy,0,,DJG Sammy,0,4,0,1,0
4,England,England,London,31,2007-06-29,5,10.33,3,Marlon Samuels,0,,MN Samuels,0,3,1,1,0
5,England,England,London,9,2007-06-29,0,18.00,0,Chris Gayle,0,,CH Gayle,0,0.3,0,0,1
0,Bangladesh,Bangladesh,Nairobi,29,2007-09-01,-,7.25,-,Mashrafe Mortaza,0,,Mashrafe Mortaza,0,4,-,2,2
1,Bangladesh,Bangladesh,Nairobi,20,2007-09-01,-,5.00,-,Syed Rasel,0,,Syed Rasel,0,4,-,0,0
2,Bangladesh,Bangladesh,Nairobi,22,2007-09-01,-,5.50,-,Abdur Razzak,0,,Abdur Razzak,0,4,-,2,0
3,Bangladesh,Bangladesh,Nairobi,32,2007-09-01,-,8.00,-,Mohammad Ashraful,0,,Mohammad Ashraful,0,4,-,1,2
4,Bangladesh,Bangladesh,Nairobi,34,2007-09-01,-,8.50,-,Farhad Reza,0,,Farhad Reza,0,4,-,2,0
0,Bangladesh,Bangladesh,Nairobi,28,2007-09-01,-,7.00,-,Thomas Odoyo,0,,TM Odoyo,0,4,-,1,1
1,Bangladesh,Bangladesh,Nairobi,21,2007-09-01,-,5.25,-,Peter Ongondo,0,,PJ Ongondo,1,4,-,2,0
2,Bangladesh,Bangladesh,Nairobi,21,2007-09-01,-,10.50,-,Lameck Onyango,0,,LN Onyango,0,2,-,1,0
3,Bangladesh,Bangladesh,Nairobi,32,2007-09-01,-,12.00,-,Rajesh Bhudia,0,,RL Bhudia,0,2.4,-,0,2
4,Bangladesh,Bangladesh,Nairobi,21,2007-09-01,-,7.00,-,Jimmy Kamande,0,,JK Kamande,0,3,-,1,1
5,Bangladesh,Bangladesh,Nairobi,15,2007-09-01,-,7.50,-,Hiren Varaiya,0,,HA Varaiya,0,2,-,0,0
0,Bangladesh,Bangladesh,Nairobi,53,2007-09-02,-,13.25,-,Mashrafe Mortaza,0,,Mashrafe Mortaza,0,4,-,0,0
1,Bangladesh,Bangladesh,Nairobi,23,2007-09-02,-,5.75,-,Syed Rasel,0,,Syed Rasel,0,4,-,0,1
2,Bangladesh,Bangladesh,Nairobi,18,2007-09-02,-,4.50,-,Abdur Razzak,0,,Abdur Razzak,0,4,-,1,0
3,Bangladesh,Bangladesh,Nairobi,42,2007-09-02,-,10.50,-,Mohammad Ashraful,0,,Mohammad Ashraful,0,4,-,3,0
4,Bangladesh,Bangladesh,Nairobi,55,2007-09-02,-,13.75,-,Farhad Reza,0,,Farhad Reza,1,4,-,2,1
0,Bangladesh,Bangladesh,Nairobi,30,2007-09-02,-,7.50,-,Shoaib Akhtar,0,,Shoaib Akhtar,0,4,-,2,2
1,Bangladesh,Bangladesh,Nairobi,36,2007-09-02,-,9.00,-,Mohammad Asif,0,,Mohammad Asif,0,4,-,0,1
2,Bangladesh,Bangladesh,Nairobi,33,2007-09-02,-,8.25,-,Iftikhar Anjum,0,,Iftikhar Anjum,0,4,-,0,0
3,Bangladesh,Bangladesh,Nairobi,26,2007-09-02,-,6.50,-,Shahid Afridi,0,,Shahid Afridi,0,4,-,2,0
4,Bangladesh,Bangladesh,Nairobi,31,2007-09-02,-,7.75,-,Yasir Arafat,0,,Yasir Arafat,0,4,-,1,1
0,Pakistan,Pakistan,Nairobi,22,2007-09-04,-,7.33,-,Shoaib Akhtar,0,,Shoaib Akhtar,5,3,-,2,0
1,Pakistan,Pakistan,Nairobi,7,2007-09-04,-,2.33,-,Umar Gul,1,,Umar Gul,0,3,-,0,1
2,Pakistan,Pakistan,Nairobi,15,2007-09-04,-,3.75,-,Fawad Alam,0,,Fawad Alam,0,4,-,1,0
3,Pakistan,Pakistan,Nairobi,7,2007-09-04,-,2.33,-,Abdur Rehman,0,,Abdur Rehman,0,3,-,2,0
4,Pakistan,Pakistan,Nairobi,18,2007-09-04,-,4.90,-,Younis Khan,0,,Younis Khan,0,3.4,-,3,0
5,Pakistan,Pakistan,Nairobi,19,2007-09-04,-,6.33,-,Mohammad Hafeez,0,,Mohammad Hafeez,0,3,-,2,0
0,Pakistan,Pakistan,Nairobi,11,2007-09-04,-,3.66,-,Peter Ongondo,0,,PJ Ongondo,0,3,-,1,3
1,Pakistan,Pakistan,Nairobi,29,2007-09-04,-,7.25,-,Rajesh Bhudia,0,,RL Bhudia,0,4,-,0,0
2,Pakistan,Pakistan,Nairobi,33,2007-09-04,-,8.25,-,Hiren Varaiya,0,,HA Varaiya,0,4,-,1,1
3,Pakistan,Pakistan,Nairobi,19,2007-09-04,-,6.33,-,Lameck Onyango,0,,LN Onyango,0,3,-,0,0
0,South,South,Johannesburg,52,2007-09-11,7,13.00,3,Shaun Pollock,0,,SM Pollock,0,4,4,1,4
1,South,South,Johannesburg,19,2007-09-11,6,9.50,1,Makhaya Ntini,0,,M Ntini,0,2,2,0,0
2,South,South,Johannesburg,33,2007-09-11,7,8.25,4,Johan van der Wath,0,,JJ van der Wath,0,4,0,2,0
3,South,South,Johannesburg,30,2007-09-11,9,7.50,2,Morne Morkel,0,,M Morkel,1,4,1,1,1
4,South,South,Johannesburg,35,2007-09-11,12,8.75,0,Vernon Philander,0,,VD Philander,0,4,3,2,1
5,South,South,Johannesburg,16,2007-09-11,0,16.00,1,Albie Morkel,0,,JA Morkel,0,1,1,0,2
6,South,South,Johannesburg,16,2007-09-11,1,16.00,1,Graeme Smith,0,,GC Smith,0,1,1,0,0
0,South,South,Johannesburg,34,2007-09-11,13,8.50,4,Daren Powell,0,,DBL Powell,0,4,1,0,4
1,South,South,Johannesburg,52,2007-09-11,8,13.00,5,Ravi Rampaul,0,,R Rampaul,1,4,3,1,1
2,South,South,Johannesburg,37,2007-09-11,1,18.50,3,Dwayne Smith,0,,DR Smith,0,2,1,0,5
3,South,South,Johannesburg,21,2007-09-11,9,7.00,2,Fidel Edwards,0,,FH Edwards,0,3,0,1,4
4,South,South,Johannesburg,39,2007-09-11,3,14.62,6,Dwayne Bravo,0,,DJ Bravo,0,2.4,1,0,2
5,South,South,Johannesburg,21,2007-09-11,3,10.50,4,Marlon Samuels,0,,MN Samuels,0,2,0,0,0
0,Zimbabwe,Zimbabwe,Cape Town,20,2007-09-12,8,6.66,2,Elton Chigumbura,0,,E Chigumbura,0,3,0,3,0
1,Zimbabwe,Zimbabwe,Cape Town,19,2007-09-12,15,4.75,2,Gary Brent,0,,GB Brent,0,4,0,2,2
2,Zimbabwe,Zimbabwe,Cape Town,23,2007-09-12,8,7.66,1,Tawanda Mupariwa,0,,T Mupariwa,0,3,1,0,3
3,Zimbabwe,Zimbabwe,Cape Town,17,2007-09-12,9,5.66,2,Chamu Chibhabha,0,,CJ Chibhabha,0,3,0,0,1
4,Zimbabwe,Zimbabwe,Cape Town,28,2007-09-12,8,7.00,2,Prosper Utseya,0,,P Utseya,0,4,0,1,0
5,Zimbabwe,Zimbabwe,Cape Town,21,2007-09-12,3,10.50,2,Tatenda Taibu,0,,T Taibu,0,2,1,0,0
6,Zimbabwe,Zimbabwe,Cape Town,9,2007-09-12,2,9.00,0,Hamilton Masakadza,0,,H Masakadza,0,1,1,1,0
0,Zimbabwe,Zimbabwe,Cape Town,31,2007-09-12,7,7.75,3,Brett Lee,0,,B Lee,0,4,0,1,2
1,Zimbabwe,Zimbabwe,Cape Town,25,2007-09-12,10,6.52,3,Nathan Bracken,0,,NW Bracken,0,3.5,0,1,0
2,Zimbabwe,Zimbabwe,Cape Town,22,2007-09-12,10,5.50,2,Stuart Clark,0,,SR Clark,0,4,0,2,0
3,Zimbabwe,Zimbabwe,Cape Town,26,2007-09-12,13,6.50,4,Mitchell Johnson,0,,MG Johnson,0,4,0,1,1
4,Zimbabwe,Zimbabwe,Cape Town,11,2007-09-12,4,5.50,1,Andrew Symonds,0,,A Symonds,0,2,0,0,0
5,Zimbabwe,Zimbabwe,Cape Town,20,2007-09-12,5,10.00,1,Brad Hodge,0,,BJ Hodge,0,2,2,0,0
0,New,New,Durban,12,2007-09-12,19,3.00,2,Shane Bond,1,,SE Bond,0,4,0,2,1
1,New,New,Durban,7,2007-09-12,14,2.47,0,Mark Gillespie,0,,MR Gillespie,0,2.5,0,4,2
2,New,New,Durban,20,2007-09-12,4,10.00,3,Jacob Oram,0,,JDP Oram,0,2,0,0,1
3,New,New,Durban,14,2007-09-12,18,3.50,0,Chris Martin,1,,CS Martin,0,4,1,2,1
4,New,New,Durban,18,2007-09-12,12,4.50,1,Daniel Vettori,0,,DL Vettori,0,4,0,2,1
0,New,New,Durban,22,2007-09-12,12,7.33,2,Thomas Odoyo,0,,TM Odoyo,1,3,1,1,2
1,New,New,Durban,22,2007-09-12,11,7.33,2,Peter Ongondo,0,,PJ Ongondo,0,3,1,0,2
2,New,New,Durban,8,2007-09-12,1,8.00,1,Nehemiah Odhiambo,0,,NN Odhiambo,0,1,0,0,0
3,New,New,Durban,17,2007-09-12,0,25.50,1,Rajesh Bhudia,0,,RL Bhudia,0,0.4,2,0,0
0,Scotland,Scotland,Durban,23,2007-09-12,13,5.75,4,John Blain,0,,JAR Blain,0,4,0,2,0
1,Scotland,Scotland,Durban,25,2007-09-12,13,6.25,1,Dewald Nel,1,,JD Nel,0,4,2,2,0
