,Oppositionteam,Team,ballsFaced,city,date,fours,fullName,media,minutes,name,runs,sixes,strikeRate
0,New,Australia,3,Auckland,2005-02-17,0,Adam Gilchrist,,7,AC Gilchrist,1,0,33.33
1,New,Australia,4,Auckland,2005-02-17,0,Michael Clarke,,4,MJ Clarke,7,1,175.00
2,New,Australia,13,Auckland,2005-02-17,4,Andrew Symonds,,12,A Symonds,32,2,246.15
3,New,Australia,55,Auckland,2005-02-17,8,Ricky Ponting,,62,RT Ponting,98,5,178.18
4,New,Australia,5,Auckland,2005-02-17,0,Damien Martyn,,4,DR Martyn,3,0,60.00
5,New,Australia,25,Auckland,2005-02-17,2,Simon Katich,,29,SM Katich,30,1,120.00
6,New,Australia,15,Auckland,2005-02-17,1,Michael Hussey,,18,MEK Hussey,31,3,206.66
0,Australia,New,24,Auckland,2005-02-17,5,Brendon McCullum,,29,BB McCullum,36,1,150.00
1,Australia,New,13,Auckland,2005-02-17,3,Stephen Fleming,,19,SP Fleming,18,0,138.46
2,Australia,New,1,Auckland,2005-02-17,0,Mathew Sinclair,,1,MS Sinclair,0,0,0.00
3,Australia,New,39,Auckland,2005-02-17,5,Scott Styris,,46,SB Styris,66,3,169.23
4,Australia,New,8,Auckland,2005-02-17,0,Craig McMillan,,10,CD McMillan,9,1,112.50
5,Australia,New,4,Auckland,2005-02-17,0,Chris Cairns,,2,CL Cairns,1,0,25.00
6,Australia,New,7,Auckland,2005-02-17,0,Hamish Marshall,,5,HJH Marshall,8,0,114.28
7,Australia,New,7,Auckland,2005-02-17,1,Andre Adams,,4,AR Adams,7,0,100.00
8,Australia,New,14,Auckland,2005-02-17,2,Jeff Wilson,,12,JW Wilson,18,0,128.57
9,Australia,New,1,Auckland,2005-02-17,0,Kyle Mills,,4,KD Mills,0,0,0.00
10,Australia,New,2,Auckland,2005-02-17,1,Daryl Tuffey,,2,DR Tuffey,5,0,250.00
0,Australia,England,37,Southampton,2005-06-13,5,Marcus Trescothick,,55,ME Trescothick,41,0,110.81
1,Australia,England,14,Southampton,2005-06-13,4,Geraint Jones,,17,GO Jones,19,0,135.71
2,Australia,England,5,Southampton,2005-06-13,0,Andrew Flintoff,,9,A Flintoff,6,0,120.00
3,Australia,England,18,Southampton,2005-06-13,3,Kevin Pietersen,,19,KP Pietersen,34,1,188.88
4,Australia,England,1,Southampton,2005-06-13,0,Michael Vaughan,,2,MP Vaughan,0,0,0.00
5,Australia,England,26,Southampton,2005-06-13,5,Paul Collingwood,,28,PD Collingwood,46,2,176.92
6,Australia,England,16,Southampton,2005-06-13,1,Sir Andrew Strauss,,15,AJ Strauss,18,0,112.50
7,Australia,England,5,Southampton,2005-06-13,1,Vikram Solanki,,5,VS Solanki,9,0,180.00
8,Australia,England,0,Southampton,2005-06-13,0,Jon Lewis,,1,J Lewis,0,0,-
0,England,Australia,14,Southampton,2005-06-13,3,Adam Gilchrist,,11,AC Gilchrist,15,0,107.14
1,England,Australia,4,Southampton,2005-06-13,1,Matthew Hayden,,12,ML Hayden,6,0,150.00
2,England,Australia,2,Southampton,2005-06-13,0,Andrew Symonds,,5,A Symonds,0,0,0.00
3,England,Australia,1,Southampton,2005-06-13,0,Michael Clarke,,1,MJ Clarke,0,0,0.00
4,England,Australia,6,Southampton,2005-06-13,0,Michael Hussey,,6,MEK Hussey,1,0,16.66
5,England,Australia,3,Southampton,2005-06-13,0,Ricky Ponting,,6,RT Ponting,0,0,0.00
6,England,Australia,4,Southampton,2005-06-13,1,Damien Martyn,,6,DR Martyn,4,0,100.00
7,England,Australia,20,Southampton,2005-06-13,1,Brett Lee,,29,B Lee,15,0,75.00
8,England,Australia,18,Southampton,2005-06-13,4,Jason Gillespie,,18,JN Gillespie,24,0,133.33
9,England,Australia,5,Southampton,2005-06-13,0,Michael Kasprowicz,,16,MS Kasprowicz,3,0,60.00
10,England,Australia,12,Southampton,2005-06-13,0,Glenn McGrath,,9,GD McGrath,5,0,41.66
0,New,South,43,Johannesburg,2005-10-21,10,Graeme Smith,,39,GC Smith,61,1,141.86
1,New,South,18,Johannesburg,2005-10-21,1,Jacques Kallis,,43,JH Kallis,20,1,111.11
2,New,South,7,Johannesburg,2005-10-21,1,Herschelle Gibbs,,10,HH Gibbs,9,0,128.57
3,New,South,11,Johannesburg,2005-10-21,1,Justin Kemp,,11,JM Kemp,8,0,72.72
4,New,South,8,Johannesburg,2005-10-21,0,Mark Boucher,,14,MV Boucher,4,0,50.00
5,New,South,2,Johannesburg,2005-10-21,0,Shaun Pollock,,3,SM Pollock,0,0,0.00
6,New,South,6,Johannesburg,2005-10-21,0,Ashwell Prince,,13,AG Prince,5,0,83.33
7,New,South,12,Johannesburg,2005-10-21,0,Albie Morkel,,16,JA Morkel,11,1,91.66
8,New,South,4,Johannesburg,2005-10-21,0,Charl Langeveldt,,5,CK Langeveldt,2,0,50.00
9,New,South,6,Johannesburg,2005-10-21,1,Makhaya Ntini,,8,M Ntini,5,0,83.33
10,New,South,2,Johannesburg,2005-10-21,0,Andre Nel,,3,A Nel,0,0,0.00
0,South,New,25,Johannesburg,2005-10-21,6,Stephen Fleming,,30,SP Fleming,31,0,124.00
1,South,New,10,Johannesburg,2005-10-21,1,Nathan Astle,,23,NJ Astle,10,0,100.00
2,South,New,3,Johannesburg,2005-10-21,0,Hamish Marshall,,4,HJH Marshall,3,0,100.00
3,South,New,19,Johannesburg,2005-10-21,1,Craig McMillan,,26,CD McMillan,15,0,78.94
4,South,New,28,Johannesburg,2005-10-21,2,Scott Styris,,39,SB Styris,24,0,85.71
5,South,New,16,Johannesburg,2005-10-21,1,Jacob Oram,,28,JDP Oram,23,2,143.75
6,South,New,9,Johannesburg,2005-10-21,1,Brendon McCullum,,10,BB McCullum,17,1,188.88
0,South,Australia,20,Brisbane,2006-01-09,2,James Hopes,,25,JR Hopes,17,0,85.00
1,South,Australia,56,Brisbane,2006-01-09,7,Damien Martyn,,79,DR Martyn,96,5,171.42
2,South,Australia,18,Brisbane,2006-01-09,2,Ricky Ponting,,22,RT Ponting,27,2,150.00
3,South,Australia,26,Brisbane,2006-01-09,6,Andrew Symonds,,32,A Symonds,54,2,207.69
4,South,Australia,0,Brisbane,2006-01-09,0,Michael Clarke,,3,MJ Clarke,0,0,-
0,Australia,South,26,Brisbane,2006-01-09,3,Graeme Smith,,32,GC Smith,22,0,84.61
1,Australia,South,5,Brisbane,2006-01-09,0,Boeta Dippenaar,,7,HH Dippenaar,1,0,20.00
2,Australia,South,2,Brisbane,2006-01-09,0,Herschelle Gibbs,,1,HH Gibbs,0,0,0.00
3,Australia,South,21,Brisbane,2006-01-09,5,Mark Boucher,,30,MV Boucher,29,0,138.09
4,Australia,South,17,Brisbane,2006-01-09,2,Shaun Pollock,,21,SM Pollock,24,1,141.17
5,Australia,South,13,Brisbane,2006-01-09,1,Jacques Kallis,,12,JH Kallis,15,1,115.38
6,Australia,South,7,Brisbane,2006-01-09,0,Jacques Rudolph,,19,JA Rudolph,6,0,85.71
7,Australia,South,10,Brisbane,2006-01-09,1,Andrew Hall,,6,AJ Hall,11,0,110.00
8,Australia,South,4,Brisbane,2006-01-09,0,Johan Botha,,3,J Botha,2,0,50.00
9,Australia,South,5,Brisbane,2006-01-09,0,Garnett Kruger,,3,GJP Kruger,3,0,60.00
10,Australia,South,1,Brisbane,2006-01-09,0,Monde Zondeki,,1,M Zondeki,0,0,0.00
0,New,West,12,Auckland,2006-02-16,2,Chris Gayle,,14,CH Gayle,10,0,83.33
1,New,West,31,Auckland,2006-02-16,3,Daren Ganga,,39,D Ganga,26,1,83.87
2,New,West,9,Auckland,2006-02-16,0,Runako Morton,,14,RS Morton,4,0,44.44
3,New,West,4,Auckland,2006-02-16,1,Dwayne Smith,,4,DR Smith,8,0,200.00
4,New,West,18,Auckland,2006-02-16,1,Wavell Hinds,,21,WW Hinds,14,0,77.77
5,New,West,27,Auckland,2006-02-16,2,Shivnarine Chanderpaul,,33,S Chanderpaul,26,0,96.29
6,New,West,16,Auckland,2006-02-16,2,Dwayne Bravo,,25,DJ Bravo,19,0,118.75
7,New,West,4,Auckland,2006-02-16,2,Denesh Ramdin,,5,D Ramdin,9,0,225.00
8,New,West,0,Auckland,2006-02-16,0,Ian Bradshaw,,1,IDR Bradshaw,0,0,-
0,West,New,37,Auckland,2006-02-16,5,Lou Vincent,,57,L Vincent,42,1,113.51
1,West,New,7,Auckland,2006-02-16,1,Stephen Fleming,,9,SP Fleming,6,0,85.71
2,West,New,7,Auckland,2006-02-16,1,Nathan Astle,,16,NJ Astle,5,0,71.42
3,West,New,16,Auckland,2006-02-16,2,Scott Styris,,15,SB Styris,19,1,118.75
4,West,New,9,Auckland,2006-02-16,0,Chris Cairns,,7,CL Cairns,2,0,22.22
5,West,New,17,Auckland,2006-02-16,0,Peter Fulton,,25,PG Fulton,16,0,94.11
6,West,New,4,Auckland,2006-02-16,0,Hamish Marshall,,4,HJH Marshall,1,0,25.00
7,West,New,10,Auckland,2006-02-16,0,Brendon McCullum,,8,BB McCullum,4,0,40.00
8,West,New,9,Auckland,2006-02-16,0,James Franklin,,14,JEC Franklin,13,1,144.44
9,West,New,4,Auckland,2006-02-16,1,Shane Bond,,9,SE Bond,8,0,200.00
0,Australia,South,58,Johannesburg,2006-02-24,11,Graeme Smith,,89,GC Smith,89,1,153.44
1,Australia,South,18,Johannesburg,2006-02-24,3,Loots Bosman,,26,LE Bosman,23,1,127.77
2,Australia,South,34,Johannesburg,2006-02-24,4,Herschelle Gibbs,,46,HH Gibbs,56,4,164.70
3,Australia,South,3,Johannesburg,2006-02-24,0,Shaun Pollock,,4,SM Pollock,2,0,66.66
4,Australia,South,7,Johannesburg,2006-02-24,1,Johan van der Wath,,10,JJ van der Wath,14,1,200.00
5,Australia,South,0,Johannesburg,2006-02-24,0,AB de Villiers,,3,AB de Villiers,0,0,-
0,South,Australia,2,Johannesburg,2006-02-24,0,Adam Gilchrist,,6,AC Gilchrist,1,0,50.00
1,South,Australia,22,Johannesburg,2006-02-24,6,Simon Katich,,42,SM Katich,39,1,177.27
2,South,Australia,8,Johannesburg,2006-02-24,1,Ricky Ponting,,11,RT Ponting,6,0,75.00
3,South,Australia,9,Johannesburg,2006-02-24,3,Damien Martyn,,11,DR Martyn,17,0,188.88
4,South,Australia,24,Johannesburg,2006-02-24,0,Michael Clarke,,33,MJ Clarke,37,3,154.16
5,South,Australia,6,Johannesburg,2006-02-24,0,Shane Watson,,9,SR Watson,4,0,66.66
6,South,Australia,25,Johannesburg,2006-02-24,2,Brad Hogg,,35,GB Hogg,41,3,164.00
7,South,Australia,21,Johannesburg,2006-02-24,4,Brett Lee,,36,B Lee,43,2,204.76
8,South,Australia,3,Johannesburg,2006-02-24,0,Nathan Bracken,,8,NW Bracken,3,0,100.00
0,England,Sri,30,Southampton,2006-06-15,4,Sanath Jayasuriya,,56,ST Jayasuriya,41,2,136.66
1,England,Sri,25,Southampton,2006-06-15,4,Upul Tharanga,,46,WU Tharanga,34,1,136.00
2,England,Sri,1,Southampton,2006-06-15,0,Mahela Jayawardene,,2,DPMD Jayawardene,0,0,0.00
3,England,Sri,5,Southampton,2006-06-15,0,Tillakaratne Dilshan,,6,TM Dilshan,2,0,40.00
4,England,Sri,14,Southampton,2006-06-15,3,Kumar Sangakkara,,15,KC Sangakkara,21,0,150.00
5,England,Sri,7,Southampton,2006-06-15,0,Russel Arnold,,5,RP Arnold,7,0,100.00
6,England,Sri,16,Southampton,2006-06-15,0,Chamara Kapugedera,,28,CK Kapugedera,22,1,137.50
7,England,Sri,8,Southampton,2006-06-15,0,Farveez Maharoof,,8,MF Maharoof,8,0,100.00
8,England,Sri,12,Southampton,2006-06-15,1,Lasith Malinga,,15,SL Malinga,13,0,108.33
9,England,Sri,4,Southampton,2006-06-15,0,Dilhara Fernando,,4,CRD Fernando,3,0,75.00
10,England,Sri,0,Southampton,2006-06-15,0,Ruchira Perera,,2,PDRL Perera,0,0,-
0,Sri,England,58,Southampton,2006-06-15,9,Marcus Trescothick,,78,ME Trescothick,72,1,124.13
1,Sri,England,21,Southampton,2006-06-15,6,Sir Andrew Strauss,,33,AJ Strauss,33,0,157.14
2,Sri,England,16,Southampton,2006-06-15,1,Kevin Pietersen,,18,KP Pietersen,17,0,106.25
3,Sri,England,7,Southampton,2006-06-15,0,Paul Collingwood,,8,PD Collingwood,5,0,71.42
4,Sri,England,2,Southampton,2006-06-15,0,Jamie Dalrymple,,1,JWM Dalrymple,1,0,50.00
5,Sri,England,11,Southampton,2006-06-15,1,Geraint Jones,,19,GO Jones,14,0,127.27
6,Sri,England,6,Southampton,2006-06-15,0,Tim Bresnan,,5,TT Bresnan,6,0,100.00
0,Pakistan,England,36,Bristol,2006-08-28,9,Marcus Trescothick,,56,ME Trescothick,53,0,147.22
1,Pakistan,England,17,Bristol,2006-08-28,2,Ian Bell,,21,IR Bell,14,0,82.35
2,Pakistan,England,1,Bristol,2006-08-28,0,Kevin Pietersen,,1,KP Pietersen,0,0,0.00
3,Pakistan,England,2,Bristol,2006-08-28,0,Sir Andrew Strauss,,2,AJ Strauss,0,0,0.00
4,Pakistan,England,11,Bristol,2006-08-28,0,Paul Collingwood,,10,PD Collingwood,2,0,18.18
5,Pakistan,England,28,Bristol,2006-08-28,2,Jamie Dalrymple,,29,JWM Dalrymple,27,0,96.42
6,Pakistan,England,14,Bristol,2006-08-28,2,Michael Yardy,,21,MH Yardy,24,1,171.42
7,Pakistan,England,11,Bristol,2006-08-28,2,Chris Read,,9,CMW Read,13,0,118.18
8,Pakistan,England,1,Bristol,2006-08-28,0,Sajid Mahmood,,3,SI Mahmood,0,0,0.00
0,England,Pakistan,16,Bristol,2006-08-28,2,Shoaib Malik,,15,Shoaib Malik,16,0,100.00
1,England,Pakistan,40,Bristol,2006-08-28,5,Mohammad Hafeez,,70,Mohammad Hafeez,46,0,115.00
2,England,Pakistan,1,Bristol,2006-08-28,0,Younis Khan,,2,Younis Khan,0,0,0.00
3,England,Pakistan,10,Bristol,2006-08-28,5,Shahid Afridi,,14,Shahid Afridi,28,1,280.00
4,England,Pakistan,19,Bristol,2006-08-28,2,Mohammad Yousuf,,17,Mohammad Yousuf,20,1,105.26
5,England,Pakistan,15,Bristol,2006-08-28,0,Inzamam-ul-Haq,,27,Inzamam-ul-Haq,11,1,73.33
6,England,Pakistan,7,Bristol,2006-08-28,4,Abdul Razzaq,,7,Abdul Razzaq,17,0,242.85
0,India,South,21,Johannesburg,2006-12-01,3,Graeme Smith,,30,GC Smith,16,0,76.19
1,India,South,7,Johannesburg,2006-12-01,0,Loots Bosman,,12,LE Bosman,1,0,14.28
2,India,South,7,Johannesburg,2006-12-01,1,Herschelle Gibbs,,10,HH Gibbs,7,0,100.00
3,India,South,25,Johannesburg,2006-12-01,3,Justin Kemp,,28,JM Kemp,22,0,88.00
4,India,South,4,Johannesburg,2006-12-01,0,AB de Villiers,,4,AB de Villiers,6,1,150.00
5,India,South,18,Johannesburg,2006-12-01,1,Albie Morkel,,32,JA Morkel,27,3,150.00
6,India,South,21,Johannesburg,2006-12-01,1,Johan van der Wath,,21,JJ van der Wath,21,0,100.00
7,India,South,12,Johannesburg,2006-12-01,0,Robin Peterson,,14,RJ Peterson,8,0,66.66
8,India,South,2,Johannesburg,2006-12-01,0,Tyron Henderson,,4,T Henderson,0,0,0.00
9,India,South,3,Johannesburg,2006-12-01,0,Roger Telemachus,,5,R Telemachus,5,0,166.66
10,India,South,1,Johannesburg,2006-12-01,0,Charl Langeveldt,,1,CK Langeveldt,0,0,0.00
0,South,India,29,Johannesburg,2006-12-01,5,Virender Sehwag,,45,V Sehwag,34,1,117.24
1,South,India,12,Johannesburg,2006-12-01,2,Sachin Tendulkar,,18,SR Tendulkar,10,0,83.33
2,South,India,45,Johannesburg,2006-12-01,4,Dinesh Mongia,,63,D Mongia,38,1,84.44
3,South,India,2,Johannesburg,2006-12-01,0,MS Dhoni,,8,MS Dhoni,0,0,0.00
4,South,India,28,Johannesburg,2006-12-01,3,Dinesh Karthik,,44,KD Karthik,31,1,110.71
5,South,India,4,Johannesburg,2006-12-01,0,Suresh Raina,,15,SK Raina,3,0,75.00
0,Sri,New,22,Wellington,2006-12-22,2,Brendon McCullum,,33,BB McCullum,39,4,177.27
1,Sri,New,24,Wellington,2006-12-22,6,Stephen Fleming,,29,SP Fleming,38,0,158.33
2,Sri,New,15,Wellington,2006-12-22,2,James Franklin,,17,JEC Franklin,18,1,120.00
3,Sri,New,21,Wellington,2006-12-22,2,Ross Taylor,,25,LRPL Taylor,21,0,100.00
4,Sri,New,13,Wellington,2006-12-22,1,Nathan Astle,,21,NJ Astle,19,1,146.15
5,Sri,New,4,Wellington,2006-12-22,0,James Marshall,,3,JAH Marshall,1,0,25.00
6,Sri,New,12,Wellington,2006-12-22,0,Peter McGlashan,,11,PD McGlashan,5,0,41.66
7,Sri,New,5,Wellington,2006-12-22,0,Andre Adams,,9,AR Adams,6,0,120.00
8,Sri,New,2,Wellington,2006-12-22,0,Shane Bond,,1,SE Bond,0,0,0.00
9,Sri,New,2,Wellington,2006-12-22,0,Mark Gillespie,,1,MR Gillespie,3,0,150.00
0,New,Sri,10,Wellington,2006-12-22,0,Upul Tharanga,,15,WU Tharanga,6,0,60.00
1,New,Sri,23,Wellington,2006-12-22,10,Sanath Jayasuriya,,23,ST Jayasuriya,51,1,221.73
2,New,Sri,2,Wellington,2006-12-22,0,Mahela Jayawardene,,7,DPMD Jayawardene,2,0,100.00
0,New,Sri,3,Auckland,2006-12-26,0,Upul Tharanga,,1,WU Tharanga,0,0,0.00
1,New,Sri,12,Auckland,2006-12-26,1,Chamara Kapugedera,,18,CK Kapugedera,12,1,100.00
2,New,Sri,7,Auckland,2006-12-26,1,Mahela Jayawardene,,13,DPMD Jayawardene,9,0,128.57
3,New,Sri,17,Auckland,2006-12-26,2,Kumar Sangakkara,,23,KC Sangakkara,13,0,76.47
4,New,Sri,8,Auckland,2006-12-26,0,Marvan Atapattu,,11,MS Atapattu,5,0,62.50
5,New,Sri,10,Auckland,2006-12-26,0,Tillakaratne Dilshan,,15,TM Dilshan,3,0,30.00
6,New,Sri,19,Auckland,2006-12-26,0,Chamara Silva,,23,LPC Silva,12,0,63.15
7,New,Sri,2,Auckland,2006-12-26,0,Malinga Bandara,,4,HMCM Bandara,1,0,50.00
8,New,Sri,19,Auckland,2006-12-26,2,Lasith Malinga,,25,SL Malinga,27,2,142.10
9,New,Sri,14,Auckland,2006-12-26,4,Dilhara Fernando,,14,CRD Fernando,21,0,150.00
10,New,Sri,0,Auckland,2006-12-26,0,Ruchira Perera,,1,PDRL Perera,0,0,-
0,Sri,New,28,Auckland,2006-12-26,6,Brendon McCullum,,40,BB McCullum,28,0,100.00
1,Sri,New,16,Auckland,2006-12-26,4,Stephen Fleming,,27,SP Fleming,17,0,106.25
2,Sri,New,7,Auckland,2006-12-26,0,Ross Taylor,,9,LRPL Taylor,4,0,57.14
3,Sri,New,37,Auckland,2006-12-26,4,Nathan Astle,,42,NJ Astle,40,1,108.10
4,Sri,New,13,Auckland,2006-12-26,1,Peter Fulton,,13,PG Fulton,14,1,107.69
5,Sri,New,4,Auckland,2006-12-26,0,Peter McGlashan,,6,PD McGlashan,2,0,50.00
6,Sri,New,6,Auckland,2006-12-26,0,James Franklin,,19,JEC Franklin,3,0,50.00
0,England,Australia,29,Sydney,2007-01-09,2,Adam Gilchrist,,36,AC Gilchrist,48,5,165.51
1,England,Australia,8,Sydney,2007-01-09,3,Matthew Hayden,,15,ML Hayden,20,1,250.00
2,England,Australia,26,Sydney,2007-01-09,3,Ricky Ponting,,41,RT Ponting,47,2,180.76
3,England,Australia,9,Sydney,2007-01-09,2,Michael Hussey,,7,MEK Hussey,18,1,200.00
4,England,Australia,22,Sydney,2007-01-09,3,Andrew Symonds,,38,A Symonds,39,1,177.27
5,England,Australia,6,Sydney,2007-01-09,0,Michael Clarke,,5,MJ Clarke,5,0,83.33
6,England,Australia,20,Sydney,2007-01-09,1,Cameron White,,21,CL White,40,4,200.00
0,Australia,England,3,Sydney,2007-01-09,0,Ed Joyce,,2,EC Joyce,1,0,33.33
1,Australia,England,21,Sydney,2007-01-09,4,Michael Vaughan,,28,MP Vaughan,27,0,128.57
2,Australia,England,2,Sydney,2007-01-09,0,Andrew Flintoff,,2,A Flintoff,0,0,0.00
3,Australia,England,6,Sydney,2007-01-09,2,Kevin Pietersen,,12,KP Pietersen,11,0,183.33
4,Australia,England,22,Sydney,2007-01-09,1,Ian Bell,,26,IR Bell,22,0,100.00
5,Australia,England,11,Sydney,2007-01-09,0,Paul Collingwood,,8,PD Collingwood,5,0,45.45
6,Australia,England,22,Sydney,2007-01-09,2,Paul Nixon,,38,PA Nixon,31,1,140.90
7,Australia,England,27,Sydney,2007-01-09,4,Jamie Dalrymple,,19,JWM Dalrymple,32,0,118.51
8,Australia,England,4,Sydney,2007-01-09,0,Jon Lewis,,2,J Lewis,1,0,25.00
9,Australia,England,2,Sydney,2007-01-09,0,Monty Panesar,,3,MS Panesar,1,0,50.00
10,Australia,England,1,Sydney,2007-01-09,0,James Anderson,,2,JM Anderson,1,0,100.00
0,England,West,8,London,2007-06-28,1,Chris Gayle,,6,CH Gayle,5,0,62.50
1,England,West,34,London,2007-06-28,7,Devon Smith,,49,DS Smith,61,3,179.41
2,England,West,26,London,2007-06-28,6,Shivnarine Chanderpaul,,34,S Chanderpaul,41,0,157.69
3,England,West,26,London,2007-06-28,3,Marlon Samuels,,14,MN Samuels,51,4,196.15
4,England,West,2,London,2007-06-28,0,Dwayne Bravo,,4,DJ Bravo,1,0,50.00
5,England,West,13,London,2007-06-28,2,Denesh Ramdin,,1,D Ramdin,24,1,184.61
6,England,West,5,London,2007-06-28,1,Dwayne Smith,,3,DR Smith,6,0,120.00
7,England,West,4,London,2007-06-28,0,Runako Morton,,2,RS Morton,2,0,50.00
8,England,West,2,London,2007-06-28,0,Daren Sammy,,2,DJG Sammy,1,0,50.00
9,England,West,1,London,2007-06-28,0,Ravi Rampaul,,2,R Rampaul,0,0,0.00
0,West,England,16,London,2007-06-28,2,Sir Alastair Cook,,11,AN Cook,15,0,93.75
1,West,England,14,London,2007-06-28,2,Matt Prior,,14,MJ Prior,25,2,178.57
2,West,England,9,London,2007-06-28,0,Jonathan Trott,,13,IJL Trott,9,0,100.00
3,West,England,11,London,2007-06-28,2,Kevin Pietersen,,18,KP Pietersen,16,0,145.45
4,West,England,41,London,2007-06-28,5,Paul Collingwood,,47,PD Collingwood,79,4,192.68
5,West,England,6,London,2007-06-28,1,Owais Shah,,2,OA Shah,7,0,116.66
6,West,England,4,London,2007-06-28,0,Dimitri Mascarenhas,,4,AD Mascarenhas,2,0,50.00
7,West,England,18,London,2007-06-28,2,Michael Yardy,,31,MH Yardy,23,0,127.77
8,West,England,1,London,2007-06-28,0,Stuart Broad,,2,SCJ Broad,1,0,100.00
0,England,West,37,London,2007-06-29,8,Chris Gayle,,55,CH Gayle,61,1,164.86
1,England,West,12,London,2007-06-29,2,Lendl Simmons,,22,LMP Simmons,9,0,75.00
2,England,West,15,London,2007-06-29,1,Austin Richards,,12,ACL Richards,10,0,66.66
3,England,West,20,London,2007-06-29,3,Marlon Samuels,,23,MN Samuels,42,3,210.00
4,England,West,8,London,2007-06-29,1,Denesh Ramdin,,14,D Ramdin,10,0,125.00
5,England,West,16,London,2007-06-29,0,Runako Morton,,12,RS Morton,18,1,112.50
6,England,West,4,London,2007-06-29,0,Dwayne Smith,,5,DR Smith,5,0,125.00
7,England,West,1,London,2007-06-29,0,Dwayne Bravo,,6,DJ Bravo,0,0,0.00
8,England,West,7,London,2007-06-29,0,Daren Sammy,,3,DJG Sammy,7,0,100.00
0,West,England,9,London,2007-06-29,2,Sir Alastair Cook,,13,AN Cook,9,0,100.00
1,West,England,14,London,2007-06-29,4,Matt Prior,,19,MJ Prior,22,0,157.14
2,West,England,5,London,2007-06-29,0,Jonathan Trott,,9,IJL Trott,2,0,40.00
3,West,England,15,London,2007-06-29,3,Kevin Pietersen,,17,KP Pietersen,19,0,126.66
4,West,England,24,London,2007-06-29,1,Paul Collingwood,,30,PD Collingwood,27,1,112.50
5,West,England,35,London,2007-06-29,7,Owais Shah,,43,OA Shah,55,0,157.14
6,West,England,16,London,2007-06-29,1,Dimitri Mascarenhas,,25,AD Mascarenhas,18,0,112.50
0,Bangladesh,Kenya,19,Nairobi,2007-09-01,4,David Obuya,,-,DO Obuya,23,0,121.05
1,Bangladesh,Kenya,5,Nairobi,2007-09-01,0,Jadavji Jesani,,-,JS Jesani,1,0,20.00
2,Bangladesh,Kenya,41,Nairobi,2007-09-01,2,Tanmay Mishra,,-,T Mishra,38,1,92.68
3,Bangladesh,Kenya,21,Nairobi,2007-09-01,2,Steve Tikolo,,-,SO Tikolo,24,0,114.28
4,Bangladesh,Kenya,13,Nairobi,2007-09-01,2,Thomas Odoyo,,-,TM Odoyo,22,1,169.23
5,Bangladesh,Kenya,10,Nairobi,2007-09-01,1,Collins Obuya,,-,CO Obuya,14,0,140.00
6,Bangladesh,Kenya,6,Nairobi,2007-09-01,1,Jimmy Kamande,,-,JK Kamande,6,0,100.00
7,Bangladesh,Kenya,2,Nairobi,2007-09-01,0,Rajesh Bhudia,,-,RL Bhudia,0,0,0.00
8,Bangladesh,Kenya,4,Nairobi,2007-09-01,0,Lameck Onyango,,-,LN Onyango,4,0,100.00
0,Kenya,Bangladesh,12,Nairobi,2007-09-01,2,Tamim Iqbal,,-,Tamim Iqbal,11,0,91.66
1,Kenya,Bangladesh,37,Nairobi,2007-09-01,3,Nazimuddin,,-,Nazimuddin,43,2,116.21
2,Kenya,Bangladesh,6,Nairobi,2007-09-01,2,Aftab Ahmed,,-,Aftab Ahmed,17,1,283.33
3,Kenya,Bangladesh,20,Nairobi,2007-09-01,4,Mohammad Ashraful,,-,Mohammad Ashraful,36,1,180.00
4,Kenya,Bangladesh,19,Nairobi,2007-09-01,1,Alok Kapali,,-,Alok Kapali,17,0,89.47
5,Kenya,Bangladesh,8,Nairobi,2007-09-01,0,Mahmudullah,,-,Mahmudullah,2,0,25.00
6,Kenya,Bangladesh,6,Nairobi,2007-09-01,0,Mashrafe Mortaza,,-,Mashrafe Mortaza,7,1,116.66
0,Bangladesh,Pakistan,27,Nairobi,2007-09-02,3,Salman Butt,,-,Salman Butt,33,0,122.22
1,Bangladesh,Pakistan,29,Nairobi,2007-09-02,4,Imran Nazir,,-,Imran Nazir,49,3,168.96
2,Bangladesh,Pakistan,25,Nairobi,2007-09-02,1,Younis Khan,,-,Younis Khan,48,4,192.00
3,Bangladesh,Pakistan,6,Nairobi,2007-09-02,0,Shoaib Malik,,-,Shoaib Malik,10,1,166.66
4,Bangladesh,Pakistan,18,Nairobi,2007-09-02,0,Shahid Afridi,,-,Shahid Afridi,32,3,177.77
5,Bangladesh,Pakistan,5,Nairobi,2007-09-02,0,Misbah-ul-Haq,,-,Misbah-ul-Haq,2,0,40.00
6,Bangladesh,Pakistan,8,Nairobi,2007-09-02,0,Kamran Akmal,,-,Kamran Akmal,11,1,137.50
7,Bangladesh,Pakistan,2,Nairobi,2007-09-02,0,Yasir Arafat,,-,Yasir Arafat,2,0,100.00
8,Bangladesh,Pakistan,1,Nairobi,2007-09-02,0,Shoaib Akhtar,,-,Shoaib Akhtar,1,0,100.00
0,Pakistan,Bangladesh,4,Nairobi,2007-09-02,0,Tamim Iqbal,,-,Tamim Iqbal,1,0,25.00
1,Pakistan,Bangladesh,50,Nairobi,2007-09-02,8,Nazimuddin,,-,Nazimuddin,81,5,162.00
2,Pakistan,Bangladesh,6,Nairobi,2007-09-02,1,Aftab Ahmed,,-,Aftab Ahmed,5,0,83.33
